departamento	familias	eventos
AMAZONAS	18308	56
ANTIOQUIA	171587	1568
ANTIOQUIA-BOLIVAR-SUCRE	0	1
ARAUCA	24141	201
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA	1550	19
ATLANTICO	128743	661
BOGOTA DC	21121	344
BOLIVAR	451455	881
BOYACA	138642	1300
CALDAS	31651	542
CAQUETA	30787	301
CASANARE	28971	547
CAUCA	194272	1148
CESAR	184796	714
CHOCO	386487	885
CORDOBA	233374	630
CUNDINAMARCA	79143	1987
GUAINIA	6922	28
GUAVIARE	8375	41
HUILA	41550	1072
LA GUAJIRA	87141	323
MAGDALENA	290361	635
META	29027	396
NARIÑO	195559	1229
NORTE DE SANTANDER	66131	793
PUTUMAYO	70128	287
QUINDIO	18342	645
RISARALDA	55158	913
RISARALDA/CALDAS	0	1
SAN ANDRES	104	8
SANTANDER	126858	1566
SUCRE	206905	493
TOLIMA	73547	1339
VALLE DEL CAUCA	116075	1372
VAUPES	211	12
VICHADA	6147	49
