departamento	familias	eventos
AMAZONAS	8465	59
ANTIOQUIA	98204	1576
ANTIOQUIA-BOLIVAR-SUCRE	0	1
ARAUCA	19145	201
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA	1550	21
ATLANTICO	60890	664
BOGOTA DC	8449	345
BOLIVAR	140005	882
BOYACA	80217	1310
CALDAS	22662	543
CAQUETA	16251	302
CASANARE	29249	548
CAUCA	115095	1155
CESAR	80970	716
CHOCO	124232	888
CORDOBA	110181	630
CUNDINAMARCA	69824	1996
GUAINIA	2711	28
GUAVIARE	4221	42
HUILA	26352	1074
LA GUAJIRA	35116	326
MAGDALENA	85350	636
META	22757	396
NARIÑO	100257	1231
NORTE DE SANTANDER	42752	795
PUTUMAYO	24536	289
QUINDIO	15828	650
RISARALDA	22963	916
SAN ANDRES	104	9
SANTANDER	76332	1568
SUCRE	59350	494
TOLIMA	67320	1346
VALLE DEL CAUCA	83935	1375
VAUPES	215	13
VICHADA	4895	49
